step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0006703313556499779,0.5,0.0,0.0,-6.077004432678223,-4.3584546801866964e-05,-0.07390587776899338,0.0,-0.39194464683532715,0.0,3.4065660015070165e-11,-5.00000006675716e-11,0.050445180386304855,-5.628074645996094,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.16494587063789368,3.062405586242676,-0.06527835130691528,0.0517519973218441,-0.0051163434982299805,-0.9492897391319275,-1.0,0.0,0.0,0.011030072346329689,0.009912269189953804,0.05123840272426605,-0.25591713190078735,0.17693300545215607,0.04384120553731918,0.2832258343696594,0.006322085857391357,0.11377201229333878,0.24314439296722412,-0.42698535323143005,-0.398528128862381,-0.39915093779563904,-0.5425605773925781,-0.8937011957168579,-0.367276132106781,-2.375791311264038,-0.9014485478401184,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7456638813018799,0.5,0.0,0.0,-1.7961525917053223,-0.05579107254743576,-0.04053238779306412,0.0,-0.6981318593025208,0.0,4.1933252009629385e-11,-5.00000006675716e-11,1.36455237865448,-5.870568752288818,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.023854359984397888,-0.9255638718605042,-0.12172231078147888,0.0478222481906414,0.021124619990587234,-1.0202821493148804,-1.0,0.0,0.0,0.0035803671926259995,0.012821732088923454,0.05895499140024185,-0.2771955728530884,0.1760389506816864,-0.02593161351978779,0.29535529017448425,0.06736093759536743,-0.012105125002563,-0.11436068266630173,0.003585314843803644,0.16686664521694183,0.013102853670716286,0.21613767743110657,-0.3068830072879791,0.3673584461212158,-1.1551852226257324,0.39443570375442505,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0010198019444942474,0.5,0.0,0.0,-4.365681171417236,-0.004111494403332472,-0.06818897277116776,0.0,-0.698133111000061,0.0,1.8742705304441998e-11,-5.00000006675716e-11,0.1992667019367218,-6.006004810333252,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.08772949874401093,2.7664971351623535,-0.16124816238880157,0.07696546614170074,0.04682891443371773,-0.9502745866775513,-1.0,0.0,0.0,0.010968891903758049,0.020672950893640518,0.11213628947734833,-0.3535802364349365,0.12521950900554657,-0.01765049807727337,0.20682641863822937,0.05733318254351616,0.10912000387907028,0.23896923661231995,-0.4158022999763489,-0.37860798835754395,-0.03860050067305565,-0.45996904373168945,-0.8338531255722046,-0.1744977831840515,-3.0571630001068115,-1.2273141145706177,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9995624423027039,0.5,0.0,0.0,-1.8084290027618408,-0.00550693366676569,-0.04284784197807312,0.0,-0.7415848970413208,0.0,2.9154213765369974e-11,-5.00000006675716e-11,5.143522262573242,-6.509081840515137,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.16685837507247925,-1.4047832489013672,0.058976367115974426,0.10552087426185608,-0.039981767535209656,-1.0201107263565063,-1.0,0.0,0.0,0.03406630456447601,0.03135261684656143,0.0954582467675209,-0.34240493178367615,0.1481894701719284,-0.025706250220537186,0.09531392902135849,0.08914404362440109,-0.023234808817505836,-0.1560918539762497,0.10426204651594162,0.38757139444351196,0.021109921857714653,-0.5055467486381531,-0.32717669010162354,0.4370496869087219,-1.4751235246658325,-0.15436306595802307,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.04265947267413139,0.5,0.0,0.0,-3.0553693771362305,-4.6296172513393685e-05,-0.03830800577998161,0.0,-1.2446379661560059,0.0,-1.3850576935370285e-11,-5.00000006675716e-11,4.947157382965088,-7.017717361450195,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.03471904993057251,1.2397738695144653,0.072882279753685,0.09496740996837616,0.041179757565259933,-0.9651625752449036,-1.0,0.0,0.0,0.05036918818950653,0.023497851565480232,0.11344511806964874,-0.4079603850841522,0.1699846088886261,-0.02217065915465355,-0.0016419952735304832,0.12423372268676758,0.058621883392333984,0.17763076722621918,-0.4288170039653778,0.0041037918999791145,0.0027581811882555485,-0.46749210357666016,-0.7445398569107056,0.169057697057724,-3.32262921333313,-0.5685023069381714,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9090914130210876,0.5,0.0,0.0,-3.2544150352478027,-0.0016982515808194876,-0.01273302361369133,0.0,-1.3962393999099731,0.0,9.457237076793135e-12,-5.00000006675716e-11,8.565302848815918,-7.313594818115234,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.02527274191379547,-1.0219072103500366,0.12226055562496185,0.0946073979139328,0.03069060668349266,-1.028334617614746,-1.0,0.0,0.0,0.06818594038486481,0.032413773238658905,0.10013478249311447,-0.4147414267063141,0.20754581689834595,-0.022231556475162506,-0.02157144993543625,0.07156886160373688,-0.05419685319066048,-0.1185346394777298,0.10097396373748779,0.2709495723247528,-0.007610008120536804,-0.021228406578302383,-0.34227660298347473,0.3219663202762604,-2.2876522541046143,-0.43839365243911743,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.08040300011634827,0.5,0.0,0.0,-3.2377402782440186,-0.001118280808441341,-0.005223542917519808,0.0,-1.3962239027023315,0.0,-8.984874476369864e-12,-5.00000006675716e-11,4.912884712219238,-7.301270961761475,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.16610078513622284,0.9931543469429016,0.16328836977481842,0.0891488790512085,0.04041408374905586,-0.9475832581520081,-1.0,0.0,0.0,0.10218054056167603,0.0355006605386734,0.11418961733579636,-0.4445651173591614,0.21888840198516846,-0.021868178620934486,-0.028645144775509834,0.09985480457544327,0.044329699128866196,0.13470926880836487,-0.1679682731628418,-0.11071331799030304,-0.04283968359231949,-0.006138667464256287,-0.5369274616241455,0.12963300943374634,-2.8159339427948,-0.8487492203712463,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9405825138092041,0.5,0.0,0.0,-3.2723448276519775,-0.001336237182840705,-0.006416883319616318,0.0,-1.3961355686187744,0.0,2.5801591765906018e-12,-5.00000006675716e-11,11.494335174560547,-7.385303020477295,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.17398880422115326,-1.1060150861740112,0.09290160238742828,0.06434692442417145,0.04293282702565193,-0.962769091129303,-1.0,0.0,0.0,0.14000284671783447,0.02994471602141857,0.10828953236341476,-0.433880090713501,0.23371662199497223,-0.02366316318511963,-0.03262875974178314,0.2039562463760376,-0.026798173785209656,-0.17265665531158447,0.23571287095546722,0.10919474810361862,0.017406636849045753,-0.047187451273202896,-0.2696200907230377,0.2772653102874756,-2.0765058994293213,-0.8898098468780518,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.012474051676690578,0.5,0.0,0.0,-3.2420859336853027,-0.0014655394479632378,-0.010435652919113636,0.0,-1.3962352275848389,0.0,-6.985151389596322e-13,-5.00000006675716e-11,1.700903058052063,-7.232125759124756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06670472025871277,1.7979398965835571,-0.16219453513622284,0.15963105857372284,-0.049331411719322205,-0.9972383975982666,-1.0,0.0,0.0,0.1622970700263977,0.0346563458442688,0.12834160029888153,-0.45916175842285156,0.19357071816921234,-0.02408837527036667,-0.029114754870533943,0.22486229240894318,0.04084271192550659,0.16825179755687714,-0.17028532922267914,-0.34357041120529175,-0.0343925878405571,-0.04746140167117119,-0.5319200754165649,-0.0194681566208601,-2.7064263820648193,-1.5897480249404907,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9783380031585693,0.5,0.0,0.0,-3.2355308532714844,-0.0007026295643299818,-0.014232691377401352,0.0,-1.3962745666503906,0.0,9.855031721239804e-12,-5.00000006675716e-11,12.493968963623047,-7.305408954620361,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.09467746317386627,-1.7745193243026733,-0.18928197026252747,0.07524721324443817,-0.02199832908809185,-0.9886345267295837,-1.0,0.0,0.0,0.21498504281044006,0.028535759076476097,0.11389603465795517,-0.4032546281814575,0.21088971197605133,-0.019828757271170616,-0.023484311997890472,0.2005048245191574,-0.09436315298080444,-0.16982965171337128,0.3618830740451813,0.151264950633049,-0.004670325201004744,0.049513645470142365,-0.18215641379356384,0.3218047320842743,-1.6812936067581177,-1.2242757081985474,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
