step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0054328106343746185,0.5,0.0,0.0,-1.6355934143066406,-0.0013267515460029244,-0.055333565920591354,0.0,-0.38474738597869873,0.0,2.567405663067568e-11,-5.00000006675716e-11,0.22420701384544373,-5.97821044921875,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.14928992092609406,1.9728686809539795,-0.10714496672153473,0.03949454054236412,-0.01171896606683731,-1.009293794631958,-1.0,0.0,0.0,-0.007092316634953022,0.005357334390282631,0.021545158699154854,-0.36223047971725464,0.20248039066791534,0.033259317278862,0.15996628999710083,-0.0025164128746837378,0.09081055223941803,0.20197263360023499,-0.3536423146724701,-0.2418847382068634,-0.40800219774246216,0.2869916260242462,-0.5721273422241211,0.09159254282712936,-2.2610483169555664,0.2920580506324768,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5230472683906555,0.5,0.0,0.0,-1.657401204109192,-0.16165274381637573,-0.004539777524769306,0.0,-0.6981325149536133,0.0,3.46118134153528e-11,-5.00000006675716e-11,1.4247232675552368,-6.379647731781006,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0024076253175735474,-0.33107179403305054,0.01129181683063507,-0.004418913275003433,-0.03548470884561539,-1.0352888107299805,-1.0,0.0,0.0,0.006558295339345932,0.007267653942108154,0.04404313862323761,-0.3885006606578827,0.19341011345386505,-0.021821826696395874,0.15158621966838837,0.07107086479663849,-0.04199717566370964,-0.018801335245370865,0.08784288167953491,0.08541180938482285,-0.035011276602745056,-0.08811715245246887,-0.2915485203266144,0.1921280324459076,-1.6900805234909058,0.0942154973745346,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.006472896318882704,0.5,0.0,0.0,-1.6247918605804443,-0.00156458152923733,-0.007639053277671337,0.0,-0.8781158328056335,0.0,1.9051562410998812e-11,-5.00000006675716e-11,0.3862031400203705,-6.5606689453125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.16391552984714508,1.981544017791748,-0.16679811477661133,0.08712641894817352,0.04862457886338234,-0.999768853187561,-1.0,0.0,0.0,0.016815928742289543,0.03071884997189045,0.07737032324075699,-0.4315592646598816,0.15640582144260406,-0.01634487509727478,0.08269518613815308,0.05332291126251221,0.04762212559580803,0.20963485538959503,-0.3663795590400696,-0.2604980170726776,-0.036713842302560806,-0.33433619141578674,-0.6432636976242065,0.05610113590955734,-2.460235834121704,-0.0747794359922409,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.9992356300354004,0.5,0.0,0.0,-1.8693900108337402,-0.0028612196911126375,-0.006220147013664246,0.0,-0.6981325149536133,0.0,1.6797658750067335e-11,-5.00000006675716e-11,8.9110746383667,-6.204043865203857,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.08287392556667328,-1.9277030229568481,0.013564661145210266,0.011889498680830002,-0.0427735298871994,-0.9744137525558472,-1.0,0.0,0.0,0.04349268227815628,0.008802194148302078,0.0628935769200325,-0.4250893294811249,0.17029334604740143,-0.016124755144119263,0.17624804377555847,0.1195451021194458,-0.02339593879878521,-0.12664371728897095,0.18365083634853363,0.2668752372264862,0.0024367987643927336,0.46214985847473145,-0.2940903604030609,0.32582902908325195,-2.265949249267578,0.549393892288208,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0010322373127564788,0.5,0.0,0.0,-3.5706799030303955,-5.6553333706688136e-05,-0.05292307958006859,0.0,-0.891987681388855,0.0,1.6147865379914639e-12,-5.00000006675716e-11,0.6620752811431885,-6.457767486572266,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.03860025107860565,2.7699780464172363,0.0851539820432663,0.059409964829683304,-0.03985964506864548,-0.953719437122345,-1.0,0.0,0.0,0.0628964751958847,0.02697630785405636,0.09243695437908173,-0.475208580493927,0.12848736345767975,-0.031875066459178925,0.08122482150793076,0.10534663498401642,0.0401485338807106,0.2765154242515564,-0.38598161935806274,-0.44065067172050476,-0.0010912895668298006,-0.45279502868652344,-0.6958402395248413,-0.24228791892528534,-2.3974380493164062,-1.6394094228744507,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8434340357780457,0.5,0.0,0.0,-1.6730891466140747,-0.025127746164798737,-0.030131524428725243,0.0,-1.3856297731399536,0.0,2.041369330518794e-11,-5.00000006675716e-11,11.000494003295898,-7.120475769042969,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.15728169679641724,-2.20668625831604,-0.10483658313751221,0.09272550046443939,0.030497636646032333,-0.9585026502609253,-1.0,0.0,0.0,0.06819985061883926,0.02290547452867031,0.069823257625103,-0.4396040439605713,0.15265434980392456,-0.029803579673171043,-0.025526564568281174,0.10531449317932129,-0.10046594589948654,-0.1943597048521042,0.3663402199745178,0.30056363344192505,-0.02768103778362274,-0.2917151153087616,-0.18502900004386902,0.3467150330543518,-1.7078990936279297,-0.25022393465042114,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.1172688901424408,0.5,0.0,0.0,-1.726888656616211,-0.003019119380041957,-0.01030938234180212,0.0,-1.3963019847869873,0.0,-3.309933924167119e-11,-5.00000006675716e-11,13.5462646484375,-7.140477180480957,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06075814366340637,0.8865854144096375,-0.0759950503706932,0.10015466809272766,0.045074332505464554,-1.001305341720581,-1.0,0.0,0.0,0.10854467749595642,0.01582290045917034,0.06793323904275894,-0.4235704839229584,0.15224403142929077,-0.015733052045106888,-0.022739876061677933,0.1593945324420929,0.057749904692173004,0.05522432550787926,-0.13915446400642395,-0.16353194415569305,-0.008222523145377636,-0.03095763362944126,-0.5281578302383423,0.10275720804929733,-2.6219704151153564,-0.11546830832958221,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.5410212278366089,0.5,0.0,0.0,-2.639770030975342,-0.0004415172152221203,-0.0009864270687103271,0.0,-1.396256685256958,0.0,9.59531152450177e-12,-5.00000006675716e-11,5.255396842956543,-7.133011341094971,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.13568373024463654,-0.2982887625694275,-0.18864083290100098,0.025005582720041275,0.016424749046564102,-0.954270601272583,-1.0,0.0,0.0,0.1380491405725479,0.023243943229317665,0.06300117075443268,-0.4216252267360687,0.16150294244289398,-0.02024029940366745,-0.03427579253911972,0.13245044648647308,0.005398381035774946,0.0035880624782294035,0.1190752312541008,0.038666822016239166,0.002799642039462924,-0.006917003076523542,-0.34822186827659607,0.14415624737739563,-2.729066848754883,-0.34586411714553833,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.146297425031662,0.5,0.0,0.0,-3.2166647911071777,-0.0002557723200879991,-0.0007983081741258502,0.0,-1.3962650299072266,0.0,1.241187491327067e-12,-5.00000006675716e-11,3.863090991973877,-7.064309597015381,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.05720263719558716,0.44563788175582886,0.01124081015586853,0.04557255282998085,0.02757292613387108,-1.0396931171417236,-1.0,0.0,0.0,0.17416290938854218,0.03162550926208496,0.0867837592959404,-0.4237615764141083,0.11730583757162094,-0.035706885159015656,-0.019258223474025726,0.13677658140659332,0.05418173223733902,0.08701875060796738,-0.014833030290901661,-0.21950702369213104,-0.023411262780427933,0.04266580566763878,-0.40162917971611023,0.008742833510041237,-2.5980265140533447,-0.5495062470436096,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.41203150153160095,0.5,0.0,0.0,-3.202341079711914,-0.00020562965073622763,-0.00010353710240451619,0.0,-1.3962703943252563,0.0,1.0424570061340344e-11,-5.00000006675716e-11,4.232625484466553,-7.015941143035889,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.10955561697483063,-0.1983644962310791,0.11843682825565338,0.04016552492976189,0.017865795642137527,-0.9755683541297913,-1.0,0.0,0.0,0.2129780501127243,0.023886224254965782,0.09037455171346664,-0.39368072152137756,0.10960681736469269,-0.01845211163163185,-0.023594476282596588,0.1557871550321579,-0.01628122664988041,-0.05515487864613533,0.12293350696563721,-0.11743288487195969,0.03315820172429085,0.017868930473923683,-0.32959499955177307,0.05848822742700577,-2.6044678688049316,-0.6009716987609863,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
