step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.002198227681219578,0.5,0.0,0.0,-2.2229385375976562,-0.00026558569516055286,-0.1291791945695877,0.0,-0.3355675935745239,0.0,2.947768765193537e-11,-5.00000006675716e-11,0.11686043441295624,-3.874396562576294,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.002789214253425598,2.564788341522217,0.09353910386562347,0.03326011821627617,0.028524603694677353,-1.0173221826553345,-1.0,0.0,0.0,-0.0020551588386297226,0.006562674418091774,0.040528371930122375,-0.3815978765487671,-0.21893133223056793,0.5707274079322815,0.05526406317949295,0.02809232473373413,0.03682699427008629,0.28887462615966797,-0.3499452769756317,-0.4106511175632477,-0.42496201395988464,-0.4628317356109619,-0.544898271560669,-0.41489240527153015,-3.5024964809417725,-0.42589712142944336,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7946489453315735,0.5,0.0,0.0,-1.754024624824524,-0.004221394658088684,-0.020666856318712234,0.0,-0.28212428092956543,0.0,3.3805166999023584e-11,-5.00000006675716e-11,2.345113515853882,-3.9773192405700684,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.018978431820869446,-0.836256206035614,0.15126098692417145,0.05187986418604851,0.04139595851302147,-1.0462710857391357,-1.0,0.0,0.0,0.008532071486115456,0.002589510753750801,0.04032339155673981,-0.3902548849582672,-0.21733765304088593,0.5050855875015259,0.06705861538648605,0.035785943269729614,-0.06515046209096909,-0.03625330328941345,0.047947533428668976,0.22391954064369202,-0.32605400681495667,0.07279279083013535,-0.4003164768218994,-0.02632761560380459,-2.2377829551696777,0.11751684546470642,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.19074024260044098,0.5,0.0,0.0,-1.616959810256958,-0.25302207469940186,-0.003541397862136364,0.0,-0.698133111000061,0.0,-9.873366013657403e-12,-5.00000006675716e-11,7.021115779876709,-4.644746780395508,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.08574651181697845,0.7093971371650696,-0.14808622002601624,0.04578519985079765,0.044158268719911575,-0.9943427443504333,-1.0,0.0,0.0,0.024578241631388664,0.013854539021849632,0.053308017551898956,-0.4077511429786682,-0.19877737760543823,0.4096153676509857,-0.01772666722536087,0.07153868675231934,-0.005483526270836592,0.07140910625457764,-0.14149747788906097,0.011768913827836514,-0.3866115212440491,0.04531275853514671,-0.454995721578598,-0.21278929710388184,-2.651841163635254,-0.2631901502609253,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.5810016989707947,0.5,0.0,0.0,-1.6025727987289429,-0.00011996401008218527,-0.0006786753656342626,0.0,-0.698128879070282,0.0,3.3532464999153078e-12,-5.00000006675716e-11,7.171874523162842,-4.891545295715332,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.15173287689685822,-0.48183614015579224,-0.07989286631345749,0.012655984610319138,-0.006920117884874344,-0.9820489287376404,-1.0,0.0,0.0,0.041089050471782684,0.020527426153421402,0.05149318277835846,-0.4155699610710144,-0.1737023890018463,0.34053513407707214,-0.03366019204258919,0.07673831284046173,0.016283715143799782,-0.016748672351241112,0.001251006149686873,0.15859751403331757,-0.3958519399166107,0.007014882750809193,-0.3912225067615509,-0.10513515025377274,-2.6558430194854736,-0.034727707505226135,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.44091618061065674,0.5,0.0,0.0,-1.6008983850479126,-0.00019165191042702645,-0.00024270161520689726,0.0,-0.6224024295806885,0.0,-9.794783040195654e-12,-5.00000006675716e-11,10.021088600158691,-5.089510917663574,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.1378031075000763,-0.052957192063331604,-0.03081701695919037,0.051475297659635544,-0.029809189960360527,-1.040377140045166,-1.0,0.0,0.0,0.044593632221221924,0.005995769053697586,0.044570088386535645,-0.4205787777900696,-0.15911732614040375,0.264272004365921,-0.0028392747044563293,0.10242360085248947,-0.051107604056596756,-0.04408424720168114,-0.03363350033760071,0.12978506088256836,-0.3539327383041382,0.027055835351347923,-0.4196668565273285,-0.11432097107172012,-2.514087438583374,0.022561535239219666,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.772469699382782,0.5,0.0,0.0,-1.7679860591888428,-0.0001414512807969004,-0.001856749295257032,0.0,-0.13229548931121826,0.0,-1.2690126727221696e-11,-5.00000006675716e-11,14.975439071655273,-4.922179222106934,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.19947387278079987,-0.6774159073829651,-0.06201407313346863,-0.00012449175119400024,0.015334542840719223,-1.0331984758377075,-1.0,0.0,0.0,0.08518555015325546,0.00044667068868875504,0.022609861567616463,-0.40413805842399597,-0.11199875921010971,0.18802079558372498,0.09270177781581879,0.09091311693191528,0.004313183017075062,-0.08696248382329941,0.08153971284627914,0.18939749896526337,-0.41724616289138794,0.5238921642303467,-0.40499362349510193,0.007092157378792763,-2.5176661014556885,0.43572700023651123,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.052322424948215485,0.5,0.0,0.0,-2.1118271350860596,-0.002103361301124096,-0.008157417178153992,0.0,-0.6695931553840637,0.0,-4.0404471760534244e-13,-5.00000006675716e-11,2.7802634239196777,-5.742525100708008,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.025671616196632385,1.190261960029602,-0.021145835518836975,0.05875286087393761,-0.03768893703818321,-1.0393121242523193,-1.0,0.0,0.0,0.0964169129729271,0.0015406031161546707,0.03611578047275543,-0.4305528998374939,-0.11295169591903687,0.106187604367733,-0.015415575355291367,0.15815818309783936,-0.009168433956801891,0.13284890353679657,-0.1795986145734787,-0.10922034829854965,-0.43886613845825195,-0.543912947177887,-0.4478343427181244,-0.27332937717437744,-2.575543165206909,-0.4197964668273926,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9583531022071838,0.5,0.0,0.0,-3.2255265712738037,-0.001129603828303516,-0.019968776032328606,0.0,-0.5823695659637451,0.0,-2.5954193221683353e-12,-5.00000006675716e-11,18.272287368774414,-5.722506523132324,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.05012674629688263,-1.9830846786499023,0.16568507254123688,0.005237627774477005,-0.034392084926366806,-1.0479388236999512,-1.0,0.0,0.0,0.13800953328609467,0.009533582255244255,0.018251223489642143,-0.3821273148059845,-0.08883146196603775,0.02201954834163189,0.10182151943445206,0.17926764488220215,-0.025499939918518066,-0.17236603796482086,0.39531588554382324,0.2556402087211609,-0.39338400959968567,0.512053906917572,-0.1707933098077774,0.020717302337288857,-2.216759443283081,0.8859357237815857,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.02392299845814705,0.5,0.0,0.0,-1.7161799669265747,-0.0031871204264461994,-0.01580723747611046,0.0,-1.241787075996399,0.0,-1.7545985497857686e-11,-5.00000006675716e-11,4.902109146118164,-6.395517826080322,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.15740235149860382,1.7870924472808838,0.18410982191562653,0.028984513133764267,0.046452004462480545,-0.9628941416740417,-1.0,0.0,0.0,0.16983500123023987,0.012428369373083115,0.03506144881248474,-0.3725486695766449,-0.11798309534788132,-0.01916751079261303,0.00493562500923872,0.19281230866909027,0.05793532356619835,0.15401577949523926,-0.07997454702854156,-0.29728493094444275,-0.007706081960350275,-0.4595552384853363,-0.40447762608528137,-0.35235360264778137,-2.568436861038208,-0.23801104724407196,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9719924926757812,0.5,0.0,0.0,-3.2493646144866943,-0.0011082307901233435,-0.01641186885535717,0.0,-0.7542937994003296,0.0,4.591378058999007e-12,-5.00000006675716e-11,14.82358455657959,-5.950988292694092,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.0834125503897667,-2.137596845626831,-0.024454325437545776,0.04514132812619209,0.027243535965681076,-0.993374228477478,-1.0,0.0,0.0,0.21089346706867218,-0.009983832016587257,0.011820318177342415,-0.32410871982574463,-0.12483881413936615,-0.02944168634712696,0.0970141589641571,0.15717874467372894,-0.07725530117750168,-0.15724480152130127,0.3845677971839905,0.18987977504730225,0.047925084829330444,0.5206171870231628,-0.137528657913208,0.01478281058371067,-2.793565273284912,0.938616931438446,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.07482434064149857,0.5,0.0,0.0,-1.632224440574646,-0.0035069729201495647,-0.0068332599475979805,0.0,-0.6981313228607178,0.0,-2.2853141254386422e-11,-5.00000006675716e-11,8.493390083312988,-5.580670356750488,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.0736561119556427,0.9700711369514465,0.058774277567863464,0.021688584238290787,0.04618597403168678,-1.0443394184112549,-1.0,0.0,0.0,0.2528882622718811,0.0025156959891319275,-0.00045327097177505493,-0.30780550837516785,-0.14950072765350342,-0.026719270274043083,0.18887610733509064,0.2319778949022293,0.06471146643161774,0.05926867946982384,-0.02701813355088234,-0.31379422545433044,0.02747401036322117,0.2668714225292206,-0.3314600884914398,-0.32516562938690186,-2.4046316146850586,0.3230828046798706,0.9723699688911438,-0.23344527184963226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
