step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.000816230196505785,0.5,0.0,0.0,-4.450372695922852,-0.001401994377374649,-0.12988321483135223,0.0,-0.7611292600631714,0.0,3.333221892942717e-11,-5.00000006675716e-11,0.057925719767808914,-6.558517932891846,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.013128206133842468,2.7510390281677246,-0.026262104511260986,0.03169688209891319,0.039969656616449356,-1.0160646438598633,-1.0,0.0,0.0,-0.0002752048894762993,0.01063142903149128,0.04634346812963486,-0.03366602957248688,0.0026356931775808334,0.04228558391332626,0.035040996968746185,0.04072391986846924,0.07174521684646606,0.289551705121994,-0.42169639468193054,-0.3873955011367798,-0.4009009301662445,-0.35292813181877136,-0.5610159635543823,-0.6066839694976807,-3.5056567192077637,-0.1260489672422409,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.05615992099046707,0.5,0.0,0.0,-3.1826295852661133,-0.07789072394371033,-0.03590870276093483,0.0,-0.6981325149536133,0.0,6.393681417637964e-11,-5.00000006675716e-11,0.0337076298892498,-6.2313761711120605,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.06437164545059204,1.2016880512237549,0.004954129457473755,0.05318954214453697,0.03646354749798775,-0.9935903549194336,-1.0,0.0,0.0,0.007432067766785622,0.020282458513975143,0.08521464467048645,-0.08694955706596375,-0.05709610879421234,-0.03472757339477539,0.14153245091438293,0.03493465110659599,0.009804392233490944,0.14056821167469025,-0.21940438449382782,-0.14321662485599518,0.032530009746551514,0.4780549705028534,-0.2163407802581787,-0.05873645097017288,-1.9555580615997314,0.7508872151374817,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08117325603961945,0.5,0.0,0.0,-2.4947099685668945,-0.0006935743149369955,-0.009695377200841904,0.0,-0.6981325149536133,0.0,3.260106073987856e-11,-5.00000006675716e-11,0.47330403327941895,-5.708075523376465,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.14835681021213531,1.0420136451721191,-0.059526845812797546,0.08100508153438568,-0.021630052477121353,-1.0103081464767456,-1.0,0.0,0.0,0.024935239925980568,0.030692188069224358,0.111975759267807,-0.14671507477760315,-0.06814239174127579,-0.02271656133234501,0.24517713487148285,0.10262507200241089,0.016749829053878784,0.037414778023958206,-0.24392805993556976,-0.004245975520461798,0.04163778945803642,0.45564642548561096,-0.29312044382095337,-0.06362302601337433,-2.9371769428253174,0.757456362247467,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.21442778408527374,0.5,0.0,0.0,-1.6037967205047607,-0.0004161622782703489,-0.004800078459084034,0.0,-0.6981325149536133,0.0,2.2357600146238887e-11,-5.00000006675716e-11,1.5410923957824707,-5.657452583312988,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.1243760958313942,0.524799644947052,0.06284676492214203,0.10071954131126404,0.012148376554250717,-1.0289794206619263,-1.0,0.0,0.0,0.03013557381927967,0.04421382397413254,0.12309566885232925,-0.1945745199918747,-0.06629802286624908,-0.021046901121735573,0.23635123670101166,0.11353945732116699,0.05270358547568321,0.030685801059007645,-0.19609451293945312,0.07839659601449966,0.018968874588608742,0.00213545560836792,-0.3068719804286957,0.002055695280432701,-2.507528305053711,0.21809835731983185,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.09090981632471085,0.5,0.0,0.0,-2.4338197708129883,-9.007018525153399e-05,-0.006954125128686428,0.0,-0.6981318593025208,0.0,1.819661782365145e-11,-5.00000006675716e-11,1.2539554834365845,-5.9949212074279785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.12179781496524811,0.9043493866920471,-0.08167188614606857,0.12217119336128235,-0.045875728130340576,-0.9596624374389648,-1.0,0.0,0.0,0.042691297829151154,0.0461638867855072,0.13909772038459778,-0.27702903747558594,-0.030321547761559486,-0.020290562883019447,0.13306018710136414,0.09567079693078995,-0.0212849210947752,0.05800158903002739,-0.39674443006515503,0.1546708643436432,0.03670957684516907,-0.5134710669517517,-0.5675227642059326,0.034964390099048615,-3.057021379470825,-0.3515051007270813,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8094562888145447,0.5,0.0,0.0,-1.610856533050537,-0.0005833413451910019,-0.004107998684048653,0.0,-0.7608979940414429,0.0,5.6508278958866676e-12,-5.00000006675716e-11,8.574930191040039,-6.244648456573486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.013616129755973816,-0.8369213342666626,0.14199404418468475,0.12183862924575806,-0.024079395458102226,-0.9671887159347534,-1.0,0.0,0.0,0.07038208842277527,0.04674752801656723,0.12355154007673264,-0.32231444120407104,0.03578802943229675,-0.02319520339369774,0.09865694493055344,0.14033101499080658,-0.028681645169854164,-0.10071593523025513,-0.160490021109581,0.40169817209243774,-0.009729635901749134,-0.13469012081623077,-0.3687310218811035,0.23450064659118652,-2.6413161754608154,0.0468115359544754,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.14067788422107697,0.5,0.0,0.0,-3.296849489212036,-0.0015706476988270879,-0.013073654845356941,0.0,-1.25813889503479,0.0,-8.197609258076e-12,-5.00000006675716e-11,5.82528018951416,-6.80214786529541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.11986838281154633,0.9646210074424744,0.09344203770160675,0.14992214739322662,-0.049699969589710236,-1.003199577331543,-1.0,0.0,0.0,0.10080119967460632,0.03980998694896698,0.14459270238876343,-0.37350979447364807,0.06963690370321274,-0.017550138756632805,-0.005798135884106159,0.1465752124786377,0.013501429930329323,0.12180664390325546,-0.31282731890678406,0.13828568160533905,-0.033160991966724396,-0.5050389170646667,-0.462434858083725,0.04516557604074478,-2.985138177871704,-1.023012638092041,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9772050976753235,0.5,0.0,0.0,-3.2725765705108643,-0.0011578486301004887,-0.011007151566445827,0.0,-1.3962465524673462,0.0,-1.1023276909327695e-11,-5.00000006675716e-11,21.272216796875,-7.158608913421631,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.031005024909973145,-1.8421744108200073,0.08459846675395966,0.1302095353603363,0.001057986170053482,-1.0064178705215454,-1.0,0.0,0.0,0.13521794974803925,0.024418750777840614,0.11127211898565292,-0.36277127265930176,0.13861560821533203,-0.023408856242895126,-0.01598965749144554,0.18949465453624725,-0.0560784712433815,-0.13729386031627655,0.15735308825969696,0.3600802421569824,0.02835763804614544,-0.03612622991204262,-0.22570523619651794,0.36605304479599,-2.1747138500213623,-0.48923563957214355,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.009924775920808315,0.5,0.0,0.0,-3.273928642272949,-0.0027177443262189627,-0.022295603528618813,0.0,-1.3962095975875854,0.0,-1.1601030032448723e-11,-5.00000006675716e-11,2.844470262527466,-7.08772087097168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.17623774707317352,1.6753759384155273,0.049860551953315735,0.11799471080303192,-0.046695075929164886,-0.983659565448761,-1.0,0.0,0.0,0.16293886303901672,0.040081851184368134,0.12703467905521393,-0.41293901205062866,0.13418518006801605,-0.02665131725370884,-0.024609260261058807,0.14236627519130707,0.09946129471063614,0.2279835194349289,-0.3284728229045868,-0.2062777280807495,-0.040560152381658554,-0.015362614765763283,-0.5487624406814575,-0.04381042718887329,-3.0776593685150146,-1.5578309297561646,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9085134863853455,0.5,0.0,0.0,-3.2674286365509033,-0.0027279274072498083,-0.022684404626488686,0.0,-1.3961176872253418,0.0,8.2367255377358e-12,-5.00000006675716e-11,14.775821685791016,-7.212136745452881,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.14435914158821106,-1.946919322013855,-0.09692012518644333,0.15421204268932343,-0.021830543875694275,-0.9793137311935425,-1.0,0.0,0.0,0.21011774241924286,0.04096585512161255,0.12154247611761093,-0.3800334632396698,0.16475093364715576,-0.02438058704137802,-0.015785301104187965,0.18237324059009552,-0.0912611186504364,-0.22786293923854828,0.34975409507751465,0.3178468942642212,0.04104234650731087,0.03759792074561119,-0.15515249967575073,0.30037397146224976,-1.6825323104858398,-1.3372198343276978,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
