step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.1029626801609993,0.5,0.0,0.0,-6.399999618530273,-0.0006033391691744328,-0.6474495530128479,0.0,-0.789189875125885,0.0,-5.972177234084969e-14,-7.553810354998802e-11,0.5700291395187378,-6.457032203674316,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.266413776767621e-11,-3.263728523550391e-11,6.120820517097059e-11,5.606505884547808e-11,6.26641308287823e-11,0.0,3.2637278296610006e-11,0.02081073820590973,0.20176346600055695,-0.048258230090141296,0.004523526877164841,0.046911049634218216,-0.971100389957428,-1.510762095451355,0.0,0.0,-0.0038243094459176064,-0.007521811872720718,0.014449009671807289,0.295936644077301,0.04143277555704117,0.3487086594104767,0.01771100051701069,0.06915265321731567,-0.02154252864420414,0.004268348217010498,0.42975831031799316,-0.44756823778152466,-0.4480762183666229,-0.49952730536460876,1.2425308227539062,-0.9418001174926758,-7.794281482696533,-1.2503043413162231,0.23344536125659943,0.972369909286499,0.6266413331031799,-0.6120820641517639,0.32637280225753784,-0.1957261860370636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.005291045643389225,0.5,0.0,0.0,-4.8001203536987305,-0.32141318917274475,-0.012168049812316895,0.0,-1.3090054988861084,0.0,1.548486686098194e-11,-7.553810354998802e-11,0.04459580406546593,-6.97241735458374,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.443245242904183e-11,-2.6827704988074963e-11,6.327848661724644e-11,5.5392572473333956e-11,6.443245242904183e-11,0.0,2.682770151862801e-11,0.09808595478534698,1.404470682144165,0.1253902167081833,0.06384779512882233,0.035718802362680435,-1.0366475582122803,-1.510762095451355,0.0,0.0,0.005982169881463051,-0.0041212476789951324,0.016200462356209755,0.3580091893672943,-0.03249257057905197,0.2968035638332367,-0.031554993242025375,0.040021367371082306,0.028807276859879494,0.11718356609344482,0.004022389650344849,-0.3867097795009613,-0.05343080312013626,-0.02335558645427227,0.5595359802246094,-1.582258939743042,-8.311300277709961,-0.9804394245147705,0.3826834261417389,0.9238795638084412,0.6443244814872742,-0.6327848434448242,0.26827701926231384,-0.18900135159492493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.00466051185503602,0.5,0.0,0.0,-3.892125129699707,-2.9595861633424647e-05,-0.011916089802980423,0.0,-1.308998465538025,0.0,3.9487038638874594e-11,-7.553810354998802e-11,0.004926334600895643,-7.102657794952393,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.334315016953695e-11,-2.419820246957194e-11,6.311828837368694e-11,5.40951727856509e-11,6.334314323064305e-11,0.0,2.419820246957194e-11,-0.1751287877559662,1.5912103652954102,0.15578268468379974,0.05277630314230919,0.04607529565691948,-0.9727376103401184,-1.510762095451355,0.0,0.0,0.01708618737757206,0.01412966288626194,0.043304912745952606,0.35945549607276917,-0.11775777488946915,0.2168874442577362,-0.018827218562364578,0.03870699554681778,0.054423656314611435,0.10407288372516632,-0.03632679209113121,-0.4019411504268646,-0.4458639323711395,0.0012966931099072099,0.6281731128692627,-1.6936097145080566,-7.754043102264404,-0.05094313621520996,0.5224985480308533,0.8526401519775391,0.6334314346313477,-0.6311829090118408,0.24198201298713684,-0.1760273277759552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.006005337927490473,0.5,0.0,0.0,-6.0612993240356445,-2.8896769435959868e-05,-0.007016444578766823,0.0,-0.8139151334762573,0.0,3.920600649687245e-11,-7.553810354998802e-11,0.005776692181825638,-6.755734920501709,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.189224133201776e-11,-2.467795585936461e-11,6.26225737931918e-11,5.020709195613371e-11,6.189223439312386e-11,0.0,2.4677954124641133e-11,0.17601989209651947,1.2090845108032227,-0.11673599481582642,0.03553835675120354,-0.03288877010345459,-1.0258723497390747,-1.510762095451355,0.0,0.0,0.04183103144168854,0.019065778702497482,0.07290513813495636,0.3710601329803467,-0.19595688581466675,0.13135561347007751,0.07629821449518204,0.12692371010780334,0.06044849380850792,0.17209677398204803,0.03091578558087349,-0.4312606751918793,-0.3989742696285248,0.4532957971096039,0.8571802377700806,-1.604830026626587,-7.37300968170166,0.6534231901168823,0.649448037147522,0.760405957698822,0.6189223527908325,-0.6262257099151611,0.24677953124046326,-0.1371465027332306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.006312209647148848,0.5,0.0,0.0,-6.267162322998047,-2.894637691497337e-05,-0.01231444627046585,0.0,-0.9085362553596497,0.0,3.732400499778521e-11,-7.553810354998802e-11,0.0070844427682459354,-6.582959175109863,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.035751065613937e-11,-2.5186961891132675e-11,6.185441048245366e-11,4.606253919958725e-11,6.035750371724546e-11,0.0,2.5186956686962247e-11,0.10650070011615753,1.115200161933899,0.09297643601894379,0.07515624165534973,0.022718731313943863,-0.9721823334693909,-1.510762095451355,0.0,0.0,0.058116115629673004,0.02514096163213253,0.09949333965778351,0.3609849214553833,-0.2805927097797394,0.05328381806612015,0.16596336662769318,0.06224022060632706,-0.0010473668808117509,0.14370529353618622,0.04576289653778076,-0.4417998492717743,-0.3522071838378906,0.4944508671760559,0.7493370175361633,-1.5241894721984863,-6.948055744171143,1.669654369354248,0.760405957698822,0.649448037147522,0.6035750508308411,-0.6185441017150879,0.2518695890903473,-0.09570100903511047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.006151087116450071,0.5,0.0,0.0,-5.34385871887207,-0.15815182030200958,-0.04092036932706833,0.0,-1.3088905811309814,0.0,3.710740048568084e-11,-7.553810354998802e-11,0.007133310195058584,-6.574294567108154,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.880601561258914e-11,-2.567305569523004e-11,6.082265940898779e-11,4.169119910413244e-11,5.880600867369523e-11,0.0,2.5673050491059612e-11,0.15015681087970734,1.1707199811935425,0.01674404740333557,0.14946399629116058,-0.02377460151910782,-1.042094349861145,-1.510762095451355,0.0,0.0,0.07291502505540848,0.03029130958020687,0.12445894628763199,0.35701459646224976,-0.36276572942733765,-0.021121416240930557,0.28334784507751465,0.13827598094940186,-0.0040715220384299755,0.14669813215732574,-0.026623142883181572,-0.39486563205718994,-0.0008892774931155145,0.529897153377533,0.5995097756385803,-1.1418298482894897,-7.089876174926758,3.6453256607055664,0.8526401519775391,0.522498607635498,0.5880600810050964,-0.6082265973091125,0.2567305266857147,-0.05198758840560913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.001553189940750599,0.5,0.0,0.0,-3.2129764556884766,-0.000276484148344025,-0.08143331110477448,0.0,-1.1996930837631226,0.0,4.301481393298445e-11,-7.553810354998802e-11,0.0019920067861676216,-6.107046604156494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.974631900329541e-11,-2.6341935577267606e-11,5.87017101594256e-11,3.721742011797424e-11,5.974631206440151e-11,0.0,2.634193384254413e-11,0.092567577958107,1.415261149406433,0.05143819749355316,0.16261202096939087,-0.0035927556455135345,-0.9873655438423157,-1.510762095451355,0.0,0.0,0.10120964050292969,0.03457731753587723,0.14773043990135193,0.3453000485897064,-0.43558332324028015,-0.0351167693734169,0.37587064504623413,0.1028888002038002,0.08462925255298615,0.1838243305683136,-0.18662378191947937,-0.39520758390426636,0.00777165312319994,0.4513377249240875,0.2481931746006012,-0.6197677850723267,-6.754056930541992,6.408401012420654,0.9238795638084412,0.3826834261417389,0.5974631309509277,-0.5870170593261719,0.26341933012008667,-0.007249802350997925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0037838020361959934,0.5,0.0,0.0,-3.370027542114258,-0.002727430546656251,-0.04632796347141266,0.0,-0.9830915331840515,0.0,4.7986857543147465e-11,-7.553810354998802e-11,0.0019064302323386073,-5.652256488800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.951460158026833e-11,-2.829488553179882e-11,5.542720796225531e-11,3.275693258308898e-11,5.951459464137443e-11,0.0,2.8294882062351867e-11,-0.14082735776901245,1.1406290531158447,0.11988718807697296,0.1571730673313141,-0.0319594070315361,-0.9698896408081055,-1.510762095451355,0.0,0.0,0.1338339000940323,0.052848443388938904,0.17088408768177032,0.30274760723114014,-0.48573562502861023,-0.016294194385409355,0.4752064049243927,0.18271353840827942,0.08689993619918823,0.143232524394989,-0.2371608316898346,-0.22741034626960754,0.008067244663834572,0.47097745537757874,0.11936725676059723,-0.4997107982635498,-7.605672359466553,8.377293586730957,0.972369909286499,0.2334454208612442,0.5951459407806396,-0.5542720556259155,0.2829488217830658,0.03735506534576416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0005400774534791708,0.5,0.0,0.0,-3.2357428073883057,-0.000544121372513473,-0.00041278632124885917,0.0,-0.6981318593025208,0.0,5.016816476133279e-11,-7.553810354998802e-11,0.0005592438392341137,-5.1480231285095215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.80339595823709e-11,-3.165096310042692e-11,5.0990010824758514e-11,2.825674243200904e-11,5.8033952643476994e-11,0.0,3.165095963097997e-11,0.01601596176624298,1.8233718872070312,0.11285410821437836,0.23162992298603058,0.006990574300289154,-1.0261650085449219,-1.510762095451355,0.0,0.0,0.15746845304965973,0.055536091327667236,0.2222825139760971,0.23112820088863373,-0.5528453588485718,-0.028226003050804138,0.5628340244293213,0.14603601396083832,0.11157333105802536,0.17090891301631927,-0.39524534344673157,-0.26712045073509216,-0.0048746527172625065,0.4916992783546448,0.0010117776691913605,-0.6242777705192566,-7.706995487213135,8.338727951049805,0.9969173073768616,0.07845908403396606,0.5803395509719849,-0.5099001526832581,0.3165096044540405,0.08235695958137512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0007971074664965272,0.5,0.0,0.0,-3.235661268234253,-0.00021592220582533628,-0.00031572513398714364,0.0,-0.6981325149536133,0.0,6.017156911619637e-11,-7.553810354998802e-11,0.00022637529764324427,-4.708816051483154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.6168569795289613e-11,-3.5499957140583405e-11,4.6071924053592284e-11,2.3725561446030774e-11,5.616856285639571e-11,0.0,3.5499957140583405e-11,0.1428886502981186,1.6666672229766846,0.18148685991764069,0.21966953575611115,-0.01976829022169113,-0.9789307713508606,-1.510762095451355,0.0,0.0,0.2022828608751297,0.07067463546991348,0.2518618702888489,0.14998963475227356,-0.5919783711433411,-0.027670968323946,0.6623454093933105,0.18455247581005096,0.08603507280349731,0.20333051681518555,-0.44122782349586487,-0.24381466209888458,-0.03880840912461281,0.4792931079864502,-0.089614138007164,-0.6730374097824097,-7.698825359344482,8.483348846435547,0.9969173073768616,-0.07845905423164368,0.5616856217384338,-0.4607192277908325,0.3549995720386505,0.12766878306865692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
