step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
10,0.0014332617865875363,0.5,0.0,0.0,-3.243316411972046,-0.0015623049112036824,-0.1018204465508461,0.0,-0.3750080466270447,0.0,2.6187160079294003e-11,-1.2299880558508391e-10,6.602797657251358e-05,-1.4563641548156738,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,7.850464202319163e-12,1.2499674906241154e-11,1.5954048845912006e-11,1.6331099667032944e-11,-5.556848384213886e-11,0.0,-1.126622753422346e-11,-0.012414634227752686,0.23157690465450287,0.13482524454593658,0.4825398921966553,-0.020439285784959793,-0.9222692847251892,-2.4599764347076416,0.0,0.0,0.280700147151947,0.13799937069416046,0.49710023403167725,-0.8109149932861328,-0.7453904151916504,0.232211172580719,-0.0031926212832331657,0.22302547097206116,-0.03572458401322365,0.04861070588231087,-0.0831156000494957,0.05194134637713432,0.3840576708316803,-0.014454299584031105,-0.8711822628974915,-0.6886136531829834,4.913750171661377,-11.390093803405762,0.9723699688911438,-0.23344527184963226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.01029787678271532,0.5,0.0,0.0,-3.203735828399658,-0.00013285000750329345,-0.018917711451649666,0.0,-0.37500128149986267,0.0,-3.4504794854672838e-12,-1.2299880558508391e-10,0.004890791140496731,-1.481281042098999,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,5.7393183088005895e-12,1.1707625320600545e-11,1.1404012283111609e-11,1.1468980279372154e-11,-5.3457342719109846e-11,0.0,-1.0474177948582852e-11,0.10983006656169891,-0.5501478910446167,-0.12724614143371582,0.4565419554710388,-0.0420529842376709,-0.9139476418495178,-2.4599764347076416,0.0,0.0,0.3254055678844452,0.14797653257846832,0.49580204486846924,-0.8069809675216675,-0.7127484083175659,0.31919458508491516,0.00949825905263424,0.24469125270843506,-0.04414886236190796,-0.1039973646402359,0.03000463917851448,0.16026043891906738,0.4369278848171234,-0.04914616420865059,-0.8098863959312439,-0.6358761787414551,6.260429382324219,-11.122347831726074,0.9238795638084412,-0.3826833963394165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.032492365688085556,0.5,0.0,0.0,-3.203403949737549,-7.488006667699665e-05,-0.00202175322920084,0.0,-0.3750062584877014,0.0,-2.180237240745342e-11,-1.2299880558508391e-10,0.04756610840559006,-1.4505516290664673,0.0,0.0,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,3.656534710433368e-12,1.0220155451101665e-11,6.546395803913585e-12,5.9445577800520955e-12,-5.13745608554661e-11,0.0,-8.986708079083972e-12,0.031658515334129333,-1.1648437976837158,-0.18307192623615265,0.48613089323043823,0.03717321529984474,-0.8964194059371948,-2.4599764347076416,0.0,0.0,0.3711629807949066,0.1291133463382721,0.47784560918807983,-0.7995424866676331,-0.6736160516738892,0.3892118036746979,0.007719699293375015,0.2746216952800751,-0.04652368649840355,-0.16686049103736877,0.022889941930770874,0.2935040295124054,0.37520965933799744,0.010991215705871582,-0.778703510761261,-0.5419378280639648,6.066070556640625,-11.515543937683105,0.8526402115821838,-0.5224984884262085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.03882046788930893,0.5,0.0,0.0,-3.386493682861328,-0.011874357238411903,-0.030974609777331352,0.0,-0.3741734027862549,0.0,-3.141547091911612e-11,-1.2299880558508391e-10,0.11182115226984024,-1.5236690044403076,0.0,-1.8900682926177979,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,-0.004363018553704023,0.0,34.815887451171875,0.15000000596046448,3.1364691659846455e-12,9.450341550976127e-12,5.355249230176717e-12,3.7953060832984775e-12,-5.0854490757368254e-11,36.61263656616211,-8.216894178958434e-12,0.12777002155780792,-1.244733452796936,-0.18041446805000305,0.46684473752975464,-0.019797494634985924,-0.9114316701889038,-2.4599764347076416,0.0,0.0,0.39669913053512573,0.13913001120090485,0.4570337235927582,-0.8238743543624878,-0.635523796081543,0.49779069423675537,0.010133592411875725,-0.03407564014196396,-0.01574017107486725,-0.09620779007673264,-0.03859324008226395,0.21752122044563293,0.3533477783203125,-0.051093410700559616,-0.777057945728302,-0.47614169120788574,4.46484899520874,-10.788069725036621,0.760405957698822,-0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.5260475873947144,0.5,0.0,0.0,-3.368586778640747,-0.00047151619219221175,-0.18304258584976196,0.0,-0.37596237659454346,0.0,-5.289596191615509e-11,-1.2299880558508391e-10,2.093294143676758,-1.4791111946105957,0.0,-1.8900682926177979,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,-0.044032711535692215,0.0,34.40550994873047,0.15000000596046448,2.5018197149367927e-12,9.489980849763935e-12,6.239206633978922e-12,3.79842685083176e-12,-5.021984217368214e-11,36.14852523803711,-8.256533477746242e-12,0.09301365911960602,-3.257690191268921,-0.042375966906547546,0.3835642337799072,-0.016117986291646957,-0.9314231276512146,-2.4599764347076416,0.0,0.0,0.3829818665981293,0.11199908703565598,0.3985971510410309,-0.7970780730247498,-0.5731469392776489,0.5765774250030518,-0.006009290926158428,-0.02170904353260994,-0.08068816363811493,-0.35007891058921814,0.15792694687843323,0.4007571339607239,0.4399985373020172,-0.017279623076319695,-0.7537907958030701,-0.2912944555282593,2.6440677642822266,-14.655149459838867,0.649448037147522,-0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.6579384207725525,0.5,0.0,0.0,-3.2377686500549316,-9.94235415419098e-06,-0.037592288106679916,0.0,-0.37495848536491394,0.0,-8.60139945380034e-11,-1.2299880558508391e-10,9.122302055358887,-1.4132272005081177,0.0,-1.8900682926177979,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,-0.044383563101291656,0.0,33.62111282348633,0.15000000596046448,1.9560423159675766e-12,9.547578873336793e-12,7.30304271917559e-12,3.8048743843110966e-12,-4.967406694311727e-11,35.28662109375,-8.3141315013191e-12,0.10763843357563019,-3.3627758026123047,0.16886653006076813,0.2892111837863922,-0.01675671711564064,-0.9852944612503052,-2.4599764347076416,0.0,0.0,0.3576839566230774,0.09788904339075089,0.33700451254844666,-0.7488186955451965,-0.4880106449127197,0.646928608417511,0.005241117440164089,-0.023322373628616333,-0.07880222797393799,-0.36046239733695984,0.2728198170661926,0.3732146918773651,0.44207140803337097,-0.010348761454224586,-0.6281184554100037,-0.2564779222011566,1.630228877067566,-16.30267906188965,0.5224986672401428,-0.8526400923728943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.754826545715332,0.5,0.0,0.0,-3.202680826187134,-0.0004153175395913422,-0.1253853589296341,0.0,-0.3746381998062134,0.0,-9.29810811678422e-11,-1.2299880558508391e-10,11.887616157531738,-1.1281474828720093,0.0,-1.8900682926177979,-79.99999237060547,0.0,0.0,0.0,0.0,0.0,0.0,-0.03587833791971207,0.0,31.90545082092285,0.15000000596046448,5.97182372996663e-12,9.596302918968291e-12,6.739090188667696e-12,3.811554804417083e-12,-5.368984770659502e-11,33.460670471191406,-8.362855546950598e-12,-0.1162024438381195,-3.0740325450897217,-0.08220583200454712,0.24736516177654266,-0.044796884059906006,-0.9472991824150085,-2.4599764347076416,0.0,0.0,0.34806084632873535,0.0840684100985527,0.276639848947525,-0.66710364818573,-0.41000452637672424,0.5684061646461487,-0.0037026824429631233,-0.0570877380669117,-0.11035268753767014,-0.2807236611843109,0.31885239481925964,0.4402041435241699,-0.37642237544059753,0.03952229768037796,-0.5170528888702393,-0.2252735048532486,-1.746812343597412,-17.361366271972656,0.38268351554870605,-0.9238795042037964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.8066816926002502,0.5,0.0,0.0,-3.3141958713531494,-0.00018157315207645297,-0.13242414593696594,0.0,-0.37330225110054016,0.0,-9.781856574742065e-11,-1.2299880558508391e-10,13.738698959350586,-0.8736486434936523,0.0,-1.8900682926177979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03446916490793228,0.0,27.338796615600586,0.15000000596046448,9.439727645388363e-12,9.64963612487546e-12,6.301809768460842e-12,3.818212239437013e-12,-5.715775075465501e-11,28.644939422607422,-8.416188752857767e-12,-0.18532592058181763,-3.216109275817871,-0.04004225134849548,0.1951720416545868,-0.031664639711380005,-1.0278820991516113,-2.4599764347076416,0.0,0.0,0.35069048404693604,0.053242750465869904,0.19672173261642456,-0.60013347864151,-0.34348157048225403,0.4955286979675293,0.004383722320199013,0.0009167194366455078,-0.0889948233962059,-0.3459799289703369,0.42969274520874023,0.4179571568965912,-0.41276559233665466,-0.031778909265995026,-0.307565301656723,-0.1849428415298462,-3.7066497802734375,-14.302618026733398,0.23344537615776062,-0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.6602747440338135,0.5,0.0,0.0,-3.5187039375305176,-0.0005072994972579181,-0.15498484671115875,0.0,-0.3718183934688568,0.0,-9.620838153923117e-11,-1.2299880558508391e-10,11.995926856994629,-0.66144198179245,0.0,-1.8900682926177979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023780403658747673,0.0,13.147187232971191,0.15000000596046448,1.2234869367633294e-11,9.695971456280539e-12,5.938961995799463e-12,3.8247079114928084e-12,-5.995288987481473e-11,13.765400886535645,-8.462524951624584e-12,0.13179762661457062,-2.8919944763183594,0.19000650942325592,0.1156725138425827,0.009179402142763138,-1.0129380226135254,-2.4599764347076416,0.0,0.0,0.33577123284339905,0.04207588732242584,0.1396382451057434,-0.5097390413284302,-0.27273884415626526,0.4021284878253937,0.003871002234518528,0.019455313682556152,-0.10429153591394424,-0.22921036183834076,0.3849470317363739,0.3381192684173584,-0.3828054368495941,-0.022988900542259216,-0.16691553592681885,-0.18057481944561005,-5.994966983795166,-11.10226058959961,0.07845927774906158,-0.9969173073768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.37873199582099915,0.5,0.0,0.0,-3.529848575592041,-0.05717974156141281,-0.10936227440834045,0.0,-0.367626428604126,0.0,-8.396324607806704e-11,-1.2299880558508391e-10,6.486193656921387,-0.48899608850479126,0.0,-1.8900682926177979,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.373120193937094e-11,9.725600533250223e-12,5.531141083342517e-12,3.8320332150509895e-12,-6.14492276507228e-11,0.0,-5.486306894897375e-11,0.06655736267566681,-1.8432196378707886,-0.11284636706113815,0.0672939121723175,0.009699676185846329,-0.9582617282867432,-2.4599764347076416,0.0,0.0,0.3300577998161316,0.024540716782212257,0.09243026375770569,-0.4394358992576599,-0.21851128339767456,0.3267552852630615,-0.007196755614131689,-0.04755847156047821,-0.04698812961578369,-0.16908489167690277,0.4315994381904602,0.2654992938041687,-0.3707605004310608,-0.23217523097991943,-0.10665211826562881,-0.20739471912384033,-7.227882385253906,-8.034395217895508,-0.07845897972583771,-0.9969173073768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.2371196150779724,0.5,0.0,0.0,-3.8273797035217285,-0.006970659829676151,-0.24313165247440338,0.0,-0.3721005320549011,0.0,-6.944488040172558e-11,-1.2299880558508391e-10,2.877392530441284,-0.347922146320343,0.0,-2.7904586791992188,8.0,0.0,0.0,4.0,-8.419661521911621,0.0,0.0,-0.16649463772773743,0.0,27.338790893554688,0.15000000596046448,1.395229418110766e-11,9.742463780160193e-12,5.057083224402348e-12,3.833162953714719e-12,-6.16703146882891e-11,0.1291588693857193,-5.4879933930607194e-11,0.16203917562961578,-1.5602128505706787,0.021013781428337097,0.02150965854525566,-0.0029813088476657867,-1.012399673461914,-2.4599764347076416,0.0,0.0,0.337235689163208,0.01928381621837616,0.06221839040517807,-0.3457554876804352,-0.16279175877571106,0.2434241622686386,0.010159572586417198,-0.017872750759124756,-0.04575396329164505,-0.18835727870464325,0.4162636697292328,0.17013290524482727,-0.3898385465145111,-0.10349253565073013,0.07037828862667084,-0.1487499177455902,-10.604133605957031,-4.445618629455566,-0.23344531655311584,-0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.3350445032119751,0.5,0.0,0.0,-3.3485512733459473,-0.00026234809774905443,-0.037601370364427567,0.0,-0.3749793469905853,0.0,-6.609492120279725e-11,-1.2299880558508391e-10,2.944617986679077,-0.2319260686635971,0.0,-2.7904586791992188,8.0,0.0,0.0,4.0,-8.419661521911621,0.0,0.0,-0.1555178463459015,0.0,31.90545082092285,0.15000000596046448,1.3829206009507988e-11,1.0071514802700854e-11,5.0416216340609665e-12,4.222671691478386e-12,-6.154723258822159e-11,0.15542425215244293,-5.520898321842438e-11,0.15663160383701324,-1.5141050815582275,-0.18905292451381683,0.04971815273165703,-0.008219011127948761,-0.9587638974189758,-2.4599764347076416,0.0,0.0,0.33088040351867676,-0.007622944191098213,0.03005058877170086,-0.2679150700569153,-0.1393325924873352,0.18041466176509857,0.009485328570008278,-0.008511322550475597,-0.08579691499471664,-0.176487997174263,0.3856881260871887,0.16004328429698944,-0.38208702206611633,0.04235553741455078,0.027112765237689018,-0.08119389414787292,-11.524297714233398,-2.740626096725464,-0.3826834559440613,-0.9238795042037964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.33195486664772034,0.5,0.0,0.0,-3.209677219390869,-9.131548722507432e-05,-0.011617688462138176,0.0,-0.3749695420265198,0.0,-7.062533197155219e-11,-1.2299880558508391e-10,3.5911521911621094,-0.1313248574733734,0.0,-2.7904586791992188,8.0,0.0,0.0,4.0,-8.419661521911621,0.0,0.0,-0.20949025452136993,0.0,33.62111282348633,0.15000000596046448,1.3698073057788474e-11,1.0626011355541198e-11,5.0305575677311865e-12,4.529681751214154e-12,-6.141609443233165e-11,0.1691874861717224,-5.5763484108073413e-11,0.03224824368953705,-1.583923101425171,-0.06488721072673798,0.0018260292708873749,0.03435595706105232,-1.0201739072799683,-2.4599764347076416,0.0,0.0,0.32174673676490784,-0.008987072855234146,-0.012711768969893456,-0.19798777997493744,-0.10332776606082916,0.10017173737287521,0.009009355679154396,0.012785268016159534,-0.09750023484230042,-0.1769755333662033,0.4195380210876465,0.14803873002529144,-0.3881215751171112,-0.04889971762895584,0.01263189036399126,-0.05571277067065239,-11.132757186889648,-1.7368303537368774,-0.5224984288215637,-0.8526402711868286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
