step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right
0,0.0,0,0.0068670027,1.3927377e-09,7.217671e-17,-6.468924e-19,-1.1116936e-19,-2.1963436e-24,1.6141827e-19
1,0.005,0,0.019377522,0.0006663925,0.0022228465,0.07468312,-0.08145428,5.3207e-07,-2.666557e-05
2,0.01,0,0.06322494,-0.010770368,-0.03585096,0.20345618,-0.094239965,1.4571445e-08,-5.16877e-06
3,0.015,0,0.12994283,-0.006459577,-0.021509273,0.15250924,-0.08699417,-8.359888e-07,6.9738144e-06
4,0.02,0,0.22206654,-0.011383998,-0.037906308,0.19086811,-0.075395375,7.164815e-08,-7.890444e-06
5,0.025,0,0.33567372,-0.019738877,-0.06829845,0.26908764,-0.064929485,-0.0031524785,0.0010139502
6,0.030000000000000002,0,0.3384736,-0.012225694,-0.095139526,0.32665464,-0.05351722,2.8127952e-08,-3.0956317e-06
7,0.035,0,0.33876216,-0.008242974,-0.10058733,0.38469854,-0.044368006,3.7376878e-07,-0.0004597196
8,0.04,0,0.3397356,-0.007857778,-0.10671068,0.4243252,-0.04191972,4.0090043e-08,-0.0001844679
9,0.045,0,0.3419337,-0.013409845,-0.11959913,0.4717714,-0.041456,1.5828424e-07,-0.00015869422
10,0.049999999999999996,0,0.3442408,-0.02281922,-0.13055193,0.5041486,-0.041857038,1.6352062e-07,-0.00027105917
11,0.05499999999999999,0,0.34853685,-0.038716003,-0.1484368,0.542477,-0.04312265,1.5147175e-07,-0.00018239509
12,0.05999999999999999,0,0.35346082,-0.059421092,-0.16530189,0.5679169,-0.049284633,4.3869e-08,0.00086311175
13,0.06499999999999999,0,0.36068717,-0.08840591,-0.19171712,0.59756726,-0.046011526,5.223334e-08,0.00030430712
14,0.06999999999999999,0,0.3692636,-0.12483618,-0.2229285,0.61576986,-0.039544225,5.7958022e-08,-0.00012388034
15,0.075,0,0.38206434,-0.16952358,-0.26168728,0.6357936,-0.034741394,6.0211654e-08,-0.00011585312
16,0.08,0,0.38901013,-0.21706823,-0.30558452,0.6471926,-0.028141862,0.0011624107,9.919874e-06
17,0.085,0,0.38763678,-0.25345734,-0.33806783,0.6567544,-0.023087895,0.0011059776,8.6044194e-05
18,0.09000000000000001,0,0.38614073,-0.28138104,-0.36118707,0.6600253,-0.016443754,7.793158e-06,8.706003e-05
19,0.09500000000000001,0,0.38478178,-0.3015797,-0.37549105,0.6586313,-0.011552383,-0.00010328075,0.000266457
20,0.10000000000000002,0,0.38322163,-0.3147019,-0.38157487,0.6536993,-0.0053485674,0.00014997469,0.0012167317
21,0.10500000000000002,0,0.380527,-0.31978327,-0.3742344,0.64067274,-0.0018192611,-2.1734126e-08,0.0027617742
22,0.11000000000000003,0,0.378148,-0.31809825,-0.3572002,0.6272049,0.0034657472,-2.234913e-08,0.0015241655
23,0.11500000000000003,0,0.37419432,-0.30791393,-0.32595536,0.60312754,0.0085254675,-4.3951314e-08,0.0007539394
24,0.12000000000000004,0,0.37344876,-0.28971818,-0.27841324,0.5815695,0.015561706,-3.052968e-08,0.00015450397
25,0.12500000000000003,0,0.36863455,-0.27866971,-0.25973314,0.54957694,0.019482333,0.003554187,0.0017400961
26,0.13000000000000003,0,0.36275128,-0.27072757,-0.24498872,0.52185106,0.026095463,-5.6104863e-08,0.00089585985
27,0.13500000000000004,0,0.3565507,-0.26363876,-0.2275712,0.4830313,0.031030003,-0.00016303427,0.0029344955
28,0.14000000000000004,0,0.35124782,-0.25799942,-0.21235678,0.45140556,0.037961416,0.0007172488,4.8491933e-05
29,0.14500000000000005,0,0.34487158,-0.25001016,-0.18663616,0.40802968,0.04225461,0.00015504526,3.9951916e-05
30,0.15000000000000005,0,0.34035516,-0.24482918,-0.17019205,0.3712014,0.048968334,0.0027570808,0.0010199298
31,0.15500000000000005,0,0.33473435,-0.23529778,-0.14244917,0.3244613,0.06216978,-0.0001782787,4.628478e-05
32,0.16000000000000006,0,0.33080155,-0.227005,-0.12022281,0.2840462,0.07902297,0.009095934,5.4364347e-05
