Policy,Cost of Transport,Avg Joint Acceleration,Avg Torque Rate,Average Position RMSE,Average Velocity RMSE,Fall Rate,pos_rmse_x,pos_rmse_y,pos_rmse_yaw,vel_rmse_x,vel_rmse_y,vel_rmse_yaw
2025-07-08_09-25-36_clf_decreasing_condition_weight_-1_clf_reward_weight_1p5_holonomic_constraint_weight_6_holonomic_constraint_vel_weight_1_model_2999,7.5312,73.0109,506.9164,1.6984,0.4853,0.0000,2.6918,1.1111,1.2922,0.6009,0.2664,0.5887
2025-07-08_09-28-51_model_2999,5.3438,74.6226,527.7824,1.7930,0.4763,0.0000,2.8446,1.1779,1.3564,0.6354,0.2878,0.5057
