step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right,q1_left_ref,q2_left_ref,q1_right_ref,q2_right_ref
0,0.0,0,0.006867002695798874,1.3927377029432364e-09,-2.7729231567480325e-17,2.5653480550101993e-18,-1.1102021134992712e-18,4.0690831543891634e-19,3.526132140067013e-19,-0.7422075867652893,0.8387515544891357,0.48214322328567505,-0.28663370013237
1,0.005,0,0.03869084641337395,-0.0002901594853028655,-0.0012718414654955268,-0.17916710674762726,0.18027469515800476,0.2001875787973404,-0.1805233359336853,-0.22631379961967468,-0.2114449292421341,0.25965961813926697,0.11239863932132721
2,0.01,0,0.09507977217435837,-0.00226884288713336,-0.007575917523354292,-0.2132444977760315,0.2358742654323578,9.176634921459481e-05,0.0033651599660515785,-0.6100667715072632,0.5169967412948608,0.20361816883087158,0.21413514018058777
3,0.015,0,0.17746326327323914,0.01630421169102192,0.048916760832071304,-0.4115191102027893,0.21458207070827484,0.2002483308315277,0.13604950904846191,-0.19801799952983856,-0.2889098823070526,0.2956940829753876,0.023932667449116707
4,0.02,0,0.28026485443115234,0.0014445541892200708,0.003863351419568062,-0.28995370864868164,0.26859310269355774,0.0001017178874462843,0.06596998125314713,-1.6332900524139404,2.3983285427093506,0.28221094608306885,0.03783974424004555
5,0.025,0,0.3622124195098877,0.004162988625466824,0.05067523568868637,-0.4711029827594757,0.27027639746665955,0.20298276841640472,0.04634745419025421,0.13286134600639343,-0.9198533296585083,-0.4365316331386566,1.3629688024520874
6,0.030000000000000002,0,0.3604409396648407,-0.02919107861816883,0.01335074845701456,-0.3381728231906891,0.1448364555835724,0.0008467198931612074,0.29699888825416565,0.876419723033905,-2.319537878036499,0.28485074639320374,-0.0023288866505026817
7,0.035,0,0.3560481369495392,-0.06945499032735825,-0.07509349286556244,-0.15448710322380066,0.23967182636260986,-0.1882806420326233,0.1469954252243042,-0.9937176704406738,1.1858848333358765,0.11009074002504349,0.3183722496032715
8,0.04,0,0.3609679639339447,-0.053771182894706726,0.01655411347746849,-0.33021509647369385,0.15424960851669312,-0.020616237074136734,0.25372999906539917,-0.48024991154670715,0.22196650505065918,-0.15312176942825317,0.7948028445243835
9,0.045,0,0.3656863868236542,-0.057788003236055374,0.04770967364311218,-0.43647056818008423,-0.016737572848796844,0.09789888560771942,0.5040093064308167,-0.34868893027305603,-0.022429702803492546,0.08211225271224976,0.328632116317749
10,0.049999999999999996,0,0.371173620223999,-0.09721856564283371,-0.037973470985889435,-0.38370874524116516,0.05280006676912308,0.021947044879198074,0.4228374660015106,-0.39460301399230957,0.06265538185834885,0.005407046992331743,0.4689716696739197
11,0.05499999999999999,0,0.3725968301296234,-0.10619452595710754,-0.03633948042988777,-0.39010557532310486,0.023356454446911812,0.047623101621866226,0.4578408896923065,-0.7192161083221436,0.7123881578445435,0.2074357271194458,0.069019615650177
12,0.05999999999999999,0,0.3562776744365692,-0.10073046386241913,-0.027846064418554306,-0.5657865405082703,0.13393285870552063,0.24699704349040985,0.23774997889995575,0.5776128172874451,-1.749022364616394,0.3623088002204895,-0.23600280284881592
13,0.06499999999999999,0,0.3469185531139374,-0.11513598263263702,-0.08708935976028442,-0.4137463867664337,0.28550946712493896,0.04766026511788368,0.008314449340105057,-1.2040824890136719,1.6005996465682983,0.6873958706855774,-0.8680217862129211
14,0.06999999999999999,0,0.36060670018196106,-0.08970794081687927,-0.035494618117809296,-0.5556054711341858,0.47516557574272156,0.2478095144033432,-0.24308434128761292,-0.4820079803466797,0.25098246335983276,0.1665714979171753,0.09822803735733032
15,0.075,0,0.3838070333003998,-0.057692307978868484,0.04204460233449936,-0.5502381324768066,0.3499906063079834,0.23808151483535767,-0.03323552757501602,-0.19420163333415985,-0.2756367325782776,0.33536699414253235,-0.23186135292053223
16,0.08,0,0.3670203387737274,-0.07236331701278687,0.002934458199888468,-0.3662479519844055,0.35933056473731995,0.033869169652462006,-0.12354608625173569,-0.38653475046157837,0.09758531302213669,0.41648438572883606,-0.3967157006263733
17,0.085,0,0.36453568935394287,-0.07254260778427124,0.01249798946082592,-0.3810431659221649,0.3978118300437927,0.06009246036410332,-0.28567469120025635,-0.6069605350494385,0.5222287774085999,0.012272366322577,0.3365863859653473
18,0.09000000000000001,0,0.353538453578949,-0.0657966136932373,0.05225171148777008,-0.5221538543701172,0.21206706762313843,0.26014629006385803,-0.03987113758921623,-0.5675299167633057,0.4596652686595917,0.3414671719074249,-0.2935372292995453
19,0.09500000000000001,0,0.3472174108028412,-0.10055793076753616,-0.008843573741614819,-0.5520526766777039,0.2963302731513977,0.38580843806266785,-0.16815583407878876,-0.2858102321624756,-0.04406147450208664,0.40743857622146606,-0.42999133467674255
20,0.10000000000000002,0,0.348146915435791,-0.1349048614501953,-0.05659489706158638,-0.3918728232383728,0.3734692633152008,0.18570025265216827,-0.32163485884666443,-0.2784024477005005,-0.04379921779036522,0.39217516779899597,-0.4139854907989502
21,0.10500000000000002,0,0.3509199321269989,-0.14892403781414032,-0.04792900010943413,-0.3177621066570282,0.38197940587997437,0.04208962619304657,-0.39214786887168884,-0.253042608499527,-0.07656892389059067,0.3831636607646942,-0.4224335849285126
22,0.11000000000000003,0,0.3519384562969208,-0.15972170233726501,-0.04581088945269585,-0.2756727337837219,0.38127848505973816,-0.03252917900681496,-0.4201868772506714,-0.1710336059331894,-0.21472512185573578,0.10718895494937897,0.08320692926645279
